height_m,wet_radius_micron,concentration_m3
2.0,52955.79126571979,1.918258716159943e-07
2.0,54566.20642274216,1.9817532557067974e-07
2.0,56225.5952031583,2.0472069621242642e-07
2.0,57935.446922178584,2.1146785865383719e-07
2.0,59697.2961859198,2.1842286652642125e-07
2.0,61512.724268726895,2.2559195733057017e-07
2.0,63383.36053237992,2.3298155793628052e-07
2.0,65310.883888459684,2.4059829023847007e-07
2.0,67297.02430518476,2.484489769707567e-07
2.0,69343.56436007253,2.5654064768166317e-07
2.0,71452.34083981719,2.648805448772016e-07
2.0,73625.246388821,2.734761303339621e-07
2.0,75864.23120785845,2.823350915868859e-07
2.0,78171.30480439769,2.9146534859598203e-07
2.0,80548.53779615002,3.0087506059628383e-07
2.0,82998.06376946656,3.105726331352429e-07
2.0,85522.08119424972,3.2056672530169206e-07
2.0,88122.8553970983,3.308662571503222e-07
2.0,90802.72059445671,3.414804173254959e-07
2.0,93564.08198759372,3.5241867088810554e-07
2.0,96409.4179212906,3.6369076734919555e-07
2.0,99341.28210817614,3.753067489140531e-07
2.0,102362.30592070491,3.872769589405857e-07
2.0,105475.20075283584,3.9961205061583053e-07
2.0,108682.76045353094,4.1232299585439063e-07
2.0,111987.86383425782,4.254210944224117e-07
2.0,115393.47725274699,4.3891798329043045e-07
2.0,118902.65727532245,4.52825646217985e-07
2.0,122518.55342019544,4.6715642357238575e-07
2.0,126244.41098418315,4.819230223836011e-07
2.0,130083.57395538961,4.971385266367595e-07
2.0,134039.4880144627,5.128164078034442e-07
2.0,138115.70362712117,5.289705356127565e-07
2.0,142315.87923072715,5.456151890628505e-07
2.0,146643.78451776397,5.627650676737027e-07
2.0,151103.30381916664,5.804353029816965e-07
2.0,155698.439590541,5.986414702771446e-07
2.0,160433.3160044008,6.173996005861067e-07
2.0,165312.18265164687,6.36726192899739e-07
2.0,170339.41835561034,6.566382266563376e-07
2.0,175519.5351020827,6.771531744856309e-07
2.0,180857.1820888607,6.982890152307816e-07
2.0,186357.14989843994,7.200642472723453e-07
2.0,192024.3747976024,7.424979021900305e-07
2.0,197863.94316775695,7.656095588131713e-07
2.0,203881.09607000882,7.894193577289866e-07
2.0,210081.23394905546,8.139480163386156e-07
2.0,216469.9214801306,8.392168445738153e-07
2.0,223052.8925633463,8.652477614105422e-07
2.0,229836.05546991638,8.92063312337285e-07
2.0,236825.49814487807,9.196866879548599e-07
2.0,244027.49367107413,9.481417438962976e-07
2.0,251448.5058992961,9.774530222603445e-07
2.0,259095.19524964463,1.0076457747468323e-06
2.0,266974.4246893112,1.0387459876649126e-06
2.0,275093.2658921488,1.0707804089599904e-06
2.0,283459.0055855576,1.1037765773643775e-06
2.0,292079.1520903832,1.1377628537328457e-06
2.0,300961.44205969735,1.1727684545694193e-06
2.0,310113.8474225078,1.20882348769625e-06
2.0,319544.5825386313,1.2459589899600602e-06
2.0,329262.1115711494,1.284206966817932e-06
2.0,339275.15608306514,1.3236004336008347e-06
2.0,349592.7028649784,1.3641734582162918e-06
2.0,360224.012000805,1.405961205028657e-06
2.0,371178.6251787792,1.448999979643271e-06
2.0,382466.3742551976,1.4933272743235045e-06
2.0,394097.39007859206,1.5389818137833706e-06
2.0,406082.1115822506,1.5860036011236282e-06
2.0,418431.29515324626,1.634433963714347e-06
2.0,431156.0242863845,1.6843155988682102e-06
2.0,444267.719531731,1.7356926191958012e-06
2.0,457778.1487446508,1.788610597582302e-06
2.0,471699.43764755584,1.8431166117745589e-06
2.0,486044.0807128421,1.8992592886137445e-06
2.0,500824.9523767815,1.9570888479928456e-06
2.0,516055.31859443587,2.016657146656105e-06
2.0,531748.8487459618,2.0780177219903336e-06
2.0,547919.6279049927,2.1412258359846514e-06
2.0,564582.1694801095,2.2063385195544182e-06
2.0,581751.4282407447,2.2734146174393857e-06
2.0,599442.8137392139,2.3425148338929336e-06
2.0,617672.2041409144,2.413701779381892e-06
2.0,636455.9604751127,2.4870400185136575e-06
2.0,655810.9413191029,2.5625961194007747e-06
2.0,675754.5179289205,2.640438704663573e-06
2.0,696304.5898301885,2.7206385042595434e-06
2.0,717479.6008830902,2.803268410314326e-06
2.0,739298.5558358878,2.888403534114832e-06
2.0,761781.0373818403,2.976121265410115e-06
2.0,784947.2237348348,3.0665013341512692e-06
2.0,808817.9067394998,3.1596258747871497e-06
2.0,833414.5105320595,3.2555794932202517e-06
2.0,858759.1107686729,3.35444933651522e-06
2.0,884874.4544385193,3.4563251654416514e-06
2.0,911783.9802794099,3.56129942992479e-06
2.0,939511.839814249,3.6694673474696218e-06
2.0,968082.9190272276,3.7809269846186523e-06
2.0,997522.8606991995,3.895779341499261e-06
2.0,1027858.0874222909,4.014128439513121e-06
2.0,1059115.8253143958,4.136081412219872e-06
2.0,1091324.1284548428,4.261748599465154e-06
2.0,1124511.9040631661,4.391243644805588e-06
2.0,1158708.938443572,4.5246835962836005e-06
2.0,1193945.9237183963,4.662189010608353e-06
2.0,1230254.4853745378,4.803884060801625e-06
2.0,1267667.2106475986,4.949896647371997e-06
2.0,1306217.6777691934,5.100358513084115e-06
2.0,1345940.4861036951,5.255405361395506e-06
2.0,1386871.287201451,5.415176978637327e-06
2.0,1429046.816796344,5.579817360021684e-06
2.0,1472504.9277764205,5.74947483956301e-06
2.0,1517284.6241571694,5.92430222400681e-06
2.0,1563426.096087954,6.104456930864382e-06
