species,radius_micron,concentration_cm^-3
sulfate,0.15617602850014778,8.146647880115401e-05
sulfate,0.16056673429323381,6.062321995733072e-05
sulfate,0.16508087962788448,4.495614131308067e-05
sulfate,0.16972193486197384,3.3222248933564586e-05
sulfate,0.17449346791841558,2.4465776288126964e-05
sulfate,0.17939914702808984,1.7954732684514877e-05
sulfate,0.18444274354988374,1.3130729577140516e-05
sulfate,0.1896281348700145,9.56948884590455e-06
sulfate,0.19495930738286332,6.949900592003221e-06
sulfate,0.20044035955561193,5.029889136680548e-06
sulfate,0.20607550507903805,3.6276735662427732e-06
sulfate,0.21186907610689149,2.607281688552771e-06
sulfate,0.21782552658634163,1.8674013753777806e-06
sulfate,0.22394943568205644,1.3328379781518598e-06
sulfate,0.2302455112965457,9.47997098358213e-07
sulfate,0.23671859368947423,6.719340050956164e-07
sea salt,0.07551873256414401,5.046260446984445e-37
sea salt,0.08550937947617705,2.7172632707152644e-33
sea salt,0.0968217252877002,9.196683006854134e-30
sea salt,0.10963062233773556,1.9565006512196313e-26
sea salt,0.1241340548151338,2.616356256474326e-23
sea salt,0.14055619895484875,2.199438287393929e-20
sea salt,0.15915088807867145,1.162444471703554e-17
sea salt,0.18020553603876485,3.863256808342294e-15
sea salt,0.20404557970776777,8.075609315253474e-13
sea salt,0.2310395091820198,1.0622484261389491e-10
sea salt,0.2616045634486074,8.798384629024291e-09
sea salt,0.2962131795528521,4.593779962220447e-07
sea salt,0.33540029494954615,1.514420640189646e-05
sea salt,0.3797716159087069,0.00031602873931305467
sea salt,0.43001297977870345,0.00419021438485891
sea salt,0.486900955817115,0.03548932962490352
sea salt,0.5513148484439336,0.19338991857955978
sea salt,0.62425028844865,0.6840240823589485
sea salt,0.7068346222273976,1.5851619361673903
sea salt,0.8003443369180685,2.425733544269454
sea salt,0.906224790769728,2.46077397892628
sea salt,1.0261125537141245,1.6524252581828445
sea salt,1.1618607034524018,0.7299057074372807
sea salt,1.315567468052826,0.21019311055924433
sea salt,1.4896086577816052,0.03909797784572708
sea salt,1.6866743874581847,0.004660079437815808
sea salt,1.9098106569440563,0.0003537089049342413
sea salt,2.1624664324651772,1.7020875137789946e-05
sea salt,2.448546956493213,5.177024890207497e-07
sea salt,2.7724741101842367,9.932646533120183e-09
sea salt,3.139254761383287,1.2005113796453764e-10
sea salt,3.554558154634223,9.1331001814446e-13
sea salt,4.0248035393945525,4.371068946565558e-15
sea salt,4.557259390904481,1.3156088630727543e-17
sea salt,5.160155757344439,2.48967253179638e-20
sea salt,5.842811469805378,2.9619318974499113e-23
sea salt,6.615778181327201,2.2150738739468328e-26
sea salt,7.491003461383796,1.0412579194416782e-29
sea salt,8.482015466728765,3.0765975492329065e-33
sea salt,9.604132043016822,5.713682390861638e-37
