,z,P,T,wv,wc,wi,S,rho
110.0,110.0,76447.71701904683,273.14601358427694,0.005056726657333432,0.00010034617948096353,0.0,0.002278980646572098,0.9699278749799197
111.0,111.0,76438.20293487437,273.13965216998866,0.005055205261753642,0.00010186757506075268,0.0,0.0022638248944152105,0.9698307873589409
112.0,112.0,76428.68980079786,273.13328723138864,0.005053685438800025,0.00010338739801436965,0.0,0.0022491289688363948,0.9697337186293989
113.0,113.0,76419.17762018538,273.12691894307227,0.005052167110564321,0.00010490572625007283,0.0,0.0022348656103423317,0.9696366682556485
114.0,114.0,76409.66639285968,273.12054747475133,0.005050650201317309,0.0001064226354970866,0.0,0.00222100862562278,0.9695396356722937
115.0,115.0,76400.15611864881,273.11417297952875,0.005049134642741073,0.0001079381940733208,0.0,0.002207534383451036,0.9694426203691103
116.0,116.0,76390.64679738547,273.10779559601406,0.005047620372984962,0.00010945246382943178,0.0,0.002194421488389828,0.9693456218840173
117.0,117.0,76381.13842890662,273.10141545013926,0.005046107335855259,0.00011096550095913647,0.0,0.0021816505007005065,0.9692486397970498
118.0,118.0,76371.6310130531,273.09503265672294,0.0050445954801175,0.00011247735669689584,0.0,0.002169203695140298,0.969151673725166
119.0,119.0,76362.12454966958,273.0886473208063,0.0050430847588998256,0.00011398807791457111,0.0,0.0021570648546951317,0.9690547233178133
120.0,120.0,76352.61903860376,273.0822595387904,0.005041575129186043,0.0001154977076283542,0.0,0.002145219095304554,0.9689577882531467
121.0,121.0,76343.11448255446,273.0758693930559,0.005040066554215916,0.00011700628259848174,0.0,0.0021336534426792198,0.9688608682928239
122.0,122.0,76333.61087567867,273.0694769790187,0.005038558991412954,0.00011851384540144416,0.0,0.002122353669812836,0.9687639630444658
123.0,123.0,76324.10822068085,273.0630823656367,0.005037052410006505,0.00012002042680789287,0.0,0.0021113088738260884,0.968667072314337
124.0,124.0,76314.60651741967,273.0566856234222,0.005035546778532385,0.00012152605828201017,0.0,0.002100508164034861,0.9685701958666425
125.0,125.0,76305.10576575605,273.0502868181271,0.005034042067650733,0.000123030769163661,0.0,0.0020899413840023418,0.9684733334814151
126.0,126.0,76295.60596555263,273.04388601113857,0.005032538249969198,0.00012453458684519785,0.0,0.0020795990504181624,0.9683764849531982
127.0,127.0,76286.10711667415,273.0374832598978,0.00503103529985626,0.00012603753695813324,0.0,0.0020694722885508643,0.9682796500896571
128.0,128.0,76276.6092189872,273.0310786182693,0.00502953319327625,0.00012753964353814576,0.0,0.0020595527751845217,0.9681828287103544
129.0,129.0,76267.1122723601,273.0246721368633,0.005028031907645811,0.0001290409291685871,0.0,0.0020498326890071895,0.9680860206456781
130.0,130.0,76257.61627666268,273.0182638633123,0.005026531421710275,0.00013054141510412224,0.0,0.00204030466786266,0.9679892257359185
131.0,131.0,76248.12123602952,273.01185383538615,0.005025031718616089,0.00013204111819830938,0.0,0.0020309624913072955,0.967892443909432
132.0,132.0,76238.62714180643,273.00544211042387,0.0050235327727770175,0.0001335400640373805,0.0,0.002021798057570075,0.9677956748637229
133.0,133.0,76229.13399813136,272.9990287206803,0.0050220345698004125,0.00013503826701398536,0.0,0.002012805997744331,0.9676989185454888
134.0,134.0,76219.64180487995,272.99261370418634,0.005020537092715957,0.0001365357440984401,0.0,0.0020039804300382145,0.9676021748269742
135.0,135.0,76210.15056192882,272.9861970970106,0.005019040325429092,0.00013803251138530436,0.0,0.001995315775253511,0.9675054435869502
136.0,136.0,76200.66026915572,272.9797789333968,0.005017544252659482,0.00013952858415491306,0.0,0.001986806735518426,0.9674087247102637
137.0,137.0,76191.1709264396,272.9733592458931,0.005016048859883392,0.0001410239769310012,0.0,0.0019784482743745273,0.9673120180874066
138.0,138.0,76181.6825336604,272.9669380654699,0.005014554133281117,0.00014251870353327656,0.0,0.0019702355986049476,0.9672153236141221
139.0,139.0,76172.19509069907,272.96051542162536,0.005013060059689987,0.00014401277712440484,0.0,0.0019621641420041877,0.9671186411910562
140.0,140.0,76162.70859743751,272.9540913424776,0.00501156662656301,0.00014550621025138013,0.0,0.0019542295510852716,0.967021970723449
141.0,141.0,76153.22305924166,272.9476658473715,0.00501007382526816,0.00014699901154623189,0.0,0.0019464283360737604,0.9669253122168288
142.0,142.0,76143.73846502825,272.9412389774782,0.0050085816374339205,0.00014849119938047177,0.0,0.0019387551077392103,0.9668286653908331
143.0,143.0,76134.25482016531,272.93481074910454,0.005007090055783739,0.00014998278103065356,0.0,0.0019312068460739336,0.9667320302610921
144.0,144.0,76124.77212453839,272.9283811857238,0.005005599069843462,0.0001514737669709331,0.0,0.0019237799136764527,0.9666354067483197
145.0,145.0,76115.29037803352,272.92195030978394,0.005004108669596134,0.00015296416721826003,0.0,0.0019164708311711475,0.9665387947766418
146.0,146.0,76105.80958053746,272.9155181427825,0.005002618845449217,0.0001544539913651758,0.0,0.001909276265834561,0.9664421942733483
147.0,147.0,76096.32973193767,272.9090847053205,0.005001129588210046,0.00015594324860434744,0.0,0.0019021930231202212,0.9663456051687174
148.0,148.0,76086.85083212223,272.9026500171538,0.004999640889063142,0.00015743194775125042,0.0,0.001895218038819443,0.9662490273958405
149.0,149.0,76077.37288097992,272.89621409723895,0.004998152739549636,0.00015892009726475647,0.0,0.0018883483719527416,0.9661524608904747
150.0,150.0,76067.89587840022,272.8897769637745,0.004996665131548854,0.0001604077052655379,0.0,0.0018815811984138554,0.9660559055909027
151.0,151.0,76058.41983086058,272.88333862652826,0.004995178060702369,0.00016189477611202238,0.0,0.0018749144047560352,0.9659593615489028
152.0,152.0,76048.94472507604,272.87689911825106,0.004993691512395777,0.000163381324418615,0.0,0.0018683441004536173,0.965862828483467
153.0,153.0,76039.47056752491,272.87045844674867,0.004992205483146215,0.00016486735366817642,0.0,0.0018618684762827737,0.965766306452887
154.0,154.0,76029.99735809951,272.86401662762154,0.004990719965992171,0.00016635287082222055,0.0,0.0018554851085732533,0.9656697954041129
155.0,155.0,76020.52509669196,272.8575736758653,0.004989234954242546,0.000167837882571847,0.0,0.0018491916672267721,0.9655732952860996
156.0,156.0,76011.05378319482,272.8511296059168,0.004987750441455116,0.00016932239535927596,0.0,0.0018429859081760388,0.9654768060496647
157.0,157.0,76001.58341750117,272.84468443168436,0.004986266421423737,0.00017080641539065635,0.0,0.001836865668958092,0.9653803276473873
158.0,158.0,75992.11399950454,272.8382381665734,0.004984782888166569,0.0001722899486478236,0.0,0.001830828864649387,0.9652838600335232
159.0,159.0,75982.6455290989,272.8317908235108,0.004983299835915381,0.0001737730008990108,0.0,0.001824873484166962,0.9651874031639223
160.0,160.0,75973.17800617864,272.8253424149664,0.004981817259105853,0.00017525557770853975,0.0,0.0018189975869212266,0.9650909569959588
161.0,161.0,75963.71143801638,272.8188929452727,0.004980335155804717,0.0001767376810096754,0.0,0.0018131998249930124,0.9649945216098065
162.0,162.0,75954.24580975197,272.81244244185274,0.0049788535137751996,0.00017821932303919391,0.0,0.00180747727503509,0.9648980967216648
163.0,163.0,75944.78112865731,272.80599090774,0.004977372331663633,0.000179700505150761,0.0,0.0018018287911087643,0.9648016824160003
164.0,164.0,75935.31739462957,272.7995383538064,0.004975891604618774,0.0001811812321956212,0.0,0.0017962526789882876,0.9647052786555311
165.0,165.0,75925.85460756502,272.7930847905574,0.004974411327952868,0.00018266150886152692,0.0,0.0017907473010960618,0.9646088854041804
166.0,166.0,75916.39276736032,272.78663022814806,0.004972931497134515,0.000184141339679881,0.0,0.001785311073925938,0.9645125026270406
167.0,167.0,75906.93187391246,272.7801746763992,0.004971452107781485,0.0001856207290329106,0.0,0.0017799424655621837,0.9644161302903187
168.0,168.0,75897.47192711869,272.7737181448121,0.004969973155654049,0.000187099681160346,0.0,0.001774639993370277,0.9643197683612863
169.0,169.0,75888.01292687669,272.76726064258287,0.004968494636648735,0.00018857820016566208,0.0,0.0017694022218390298,0.9642234168082341
170.0,170.0,75878.55487308436,272.7608021786156,0.004967016546792464,0.0001900562900219316,0.0,0.0017642277605574362,0.9641270756004254
171.0,171.0,75869.09777424906,272.75434275337676,0.004965538885876834,0.0001915339509375621,0.0,0.0017591157450260984,0.9640307448469275
172.0,172.0,75859.64161305153,272.7478823919328,0.00496406164271673,0.0001930111940976672,0.0,0.0017540638413215905,0.9639344242397997
173.0,173.0,75850.18639799737,272.74142109372036,0.004962584817563614,0.00019448801925078357,0.0,0.0017490713458901072,0.9638381138914917
174.0,174.0,75840.73212898748,272.7349588666258,0.0049611084068982795,0.00019596442991611933,0.0,0.0017441370250395752,0.9637418137746879
175.0,175.0,75831.27880592117,272.7284957182826,0.00495963240731452,0.00019744042949987903,0.0,0.0017392596843813627,0.96364552386289
176.0,176.0,75821.82642869803,272.7220316560916,0.0049581568155100016,0.000198916021304398,0.0,0.0017344381654704596,0.9635492441303775
177.0,177.0,75812.37499721786,272.7155666872306,0.004956681628281735,0.000200391208532663,0.0,0.001729671344240072,0.9634529745521735
178.0,178.0,75802.9245113807,272.7091008186645,0.004955206842521893,0.00020186599429250555,0.0,0.0017249581295501277,0.9633567151040094
179.0,179.0,75793.47497108688,272.7026340571535,0.004953732455213901,0.00020334038160049842,0.0,0.001720297461838742,0.9632604657623026
180.0,180.0,75784.02637623688,272.6961664092615,0.0049522584634288025,0.00020481437338559793,0.0,0.0017156883118623126,0.9631642265041229
181.0,181.0,75774.5787338201,272.68969787511355,0.004950784867110837,0.00020628796970356415,0.0,0.0017111300032356708,0.9630679974199813
182.0,182.0,75765.1320295592,272.68322847367034,0.0049493116577992765,0.00020776117901512395,0.0,0.0017066208743229169,0.962971778261673
183.0,183.0,75755.68627044499,272.6767582043597,0.004947838835749488,0.00020923400106491317,0.0,0.0017021603575714892,0.9628755691220321
184.0,184.0,75746.24145637886,272.67028707305707,0.004946366398339636,0.00021070643847476486,0.0,0.0016977475299409673,0.9627793699804283
185.0,185.0,75736.7975872624,272.6638150854649,0.0049448943430252055,0.00021217849378919515,0.0,0.0016933814951879905,0.9626831808168079
186.0,186.0,75727.35466299731,272.65734224712565,0.0049434226673330025,0.00021365016948139852,0.0,0.0016890613817636877,0.9625870016116497
187.0,187.0,75717.91268348564,272.6508685634287,0.004941951368858245,0.0002151214679561562,0.0,0.0016847863418051876,0.962490832345946
188.0,188.0,75708.47164862945,272.6443940396157,0.0049404804452618765,0.00021659239155252596,0.0,0.0016805555502039068,0.9623946730011793
189.0,189.0,75699.03155833104,272.6379186807871,0.004939009894268064,0.00021806294254633838,0.0,0.0016763682037410682,0.9622985235593043
190.0,190.0,75689.5924124929,272.6314424919065,0.004937539713661873,0.0002195331231525294,0.0,0.001672223520280175,0.9622023840027336
191.0,191.0,75680.15421809904,272.62496547190875,0.004936069903918619,0.00022100293289578242,0.0,0.001668121006136483,0.9621062544258777
192.0,192.0,75670.71696088834,272.61848763752494,0.004934600457572447,0.00022247237924195694,0.0,0.0016640593462328589,0.9620101345881147
193.0,193.0,75661.28064784623,272.6120089871482,0.004933131375340572,0.00022394146147383266,0.0,0.0016600381317446043,0.9619140245856627
194.0,194.0,75651.845278876,272.60552952525956,0.004931662655223302,0.0002254101815911037,0.0,0.0016560566549944184,0.9618179244025468
195.0,195.0,75642.41085388098,272.59904925622163,0.004930194295274039,0.0002268785415403673,0.0,0.0016521142267152888,0.9617218340231869
196.0,196.0,75632.97737276455,272.59256818428247,0.004928726293597057,0.0002283465432173499,0.0,0.0016482101752658897,0.9616257534323832
197.0,197.0,75623.54483543032,272.58608631358146,0.00492725864834547,0.00022981418846893892,0.0,0.0016443438459251762,0.9615296826152997
198.0,198.0,75614.11324178206,272.579603648152,0.004925791357719343,0.0002312814790950653,0.0,0.0016405146002385596,0.9614336215574542
199.0,199.0,75604.68259172358,272.57312019192636,0.004924324419964026,0.00023274841685038176,0.0,0.0016367218154365462,0.9613375702447018
200.0,200.0,75595.25288515893,272.56663594873896,0.004922857833368554,0.00023421500344585392,0.0,0.0016329648838832515,0.9612415286632245
201.0,201.0,75585.82416915611,272.56015088419707,0.004921391613279705,0.00023568122353470158,0.0,0.001629244812441398,0.9611454975388225
202.0,202.0,75576.39639644367,272.5536650416244,0.004919925740365488,0.0002371470964489192,0.0,0.0016255591773991485,0.9610494761137841
203.0,203.0,75566.96956692611,272.54717842417784,0.0049184602132171665,0.00023861262359724025,0.0,0.0016219074771513795,0.9609534643765352
204.0,204.0,75557.5436805079,272.54069103503934,0.0049169950304150155,0.00024007780639938867,0.0,0.0016182892059375526,0.960857462315421
205.0,205.0,75548.11873709376,272.53420287738993,0.004915530190539487,0.0002415426462749177,0.0,0.0016147038577725495,0.9607614699187963
206.0,206.0,75538.69473658847,272.5277139543861,0.004914065692182129,0.0002430071446322759,0.0,0.0016111509303548131,0.9606654871750991
