height_m,wet_radius_micron,concentration_m3
1.0,148845.74158080938,4.4914111164191615e-07
1.0,153123.16716577747,4.625555724801531e-07
1.0,157523.51443759148,4.763556323180127e-07
1.0,162050.31583434917,4.905522403863296e-07
1.0,166707.2053069021,5.051566534705156e-07
1.0,171497.92123605844,5.201804442380005e-07
1.0,176426.3094336187,5.356355098122547e-07
1.0,181496.32622965277,5.51534080609219e-07
1.0,186712.04164849766,5.678887294721564e-07
1.0,192077.64267602406,5.847123811185265e-07
1.0,197597.43662079566,6.020183219585908e-07
1.0,203275.8545718193,6.19820210304183e-07
1.0,209117.45495566164,6.381320870215981e-07
1.0,215126.92719578705,6.569683866780984e-07
1.0,221309.09547705596,6.763439492183117e-07
1.0,227668.92261840406,6.962740322178977e-07
1.0,234211.51405681195,7.167743237571405e-07
1.0,240942.12194576403,7.378609559461486e-07
1.0,247866.1493714851,7.595505191240669e-07
1.0,254989.15469034077,7.818600767533129e-07
1.0,262316.85599088285,8.048071810160126e-07
1.0,269855.13568412233,8.284098891091897e-07
1.0,277610.04522571387,8.526867802154449e-07
1.0,285587.8099738437,8.776569731405741e-07
1.0,293794.83418671926,9.033401445751534e-07
1.0,302237.70616367453,9.29756547942625e-07
1.0,310923.20353401557,9.569270327947303e-07
1.0,319858.29869785404,9.848730647008448e-07
1.0,329050.1644232955,1.013616745590186e-06
1.0,338506.17960447574,1.04318083449834e-06
1.0,348233.93518506706,1.0735887686757973e-06
1.0,358241.24025201146,1.10486468502361e-06
1.0,368536.1283043695,1.1370334418268447e-06
1.0,379126.8637023207,1.1701206407625661e-06
1.0,390021.9483014903,1.2041526491720435e-06
1.0,401230.1282779271,1.2391566225919931e-06
1.0,412760.40114921564,1.2751605275522726e-06
1.0,424622.02299735433,1.3121931646542774e-06
1.0,436824.51589920005,1.3502841919529258e-06
1.0,449377.6755704435,1.3894641486744622e-06
1.0,462291.5792292521,1.4297644793074518e-06
1.0,475576.59368589305,1.4712175581103334e-06
1.0,489243.38366483,1.5138567140846937e-06
1.0,503302.92036597367,1.5577162564659103e-06
1.0,517766.49027196097,1.6028315007854575e-06
1.0,532645.7042085319,1.6492387955619291e-06
1.0,547952.5066652752,1.6969755496769417e-06
1.0,563699.1853842291,1.7460802604931897e-06
1.0,579898.3812240314,1.7965925427706148e-06
1.0,596563.0983075403,1.8485531584356507e-06
1.0,613706.7144610675,1.9020040472564995e-06
1.0,631342.9919536107,1.9569883584758745e-06
1.0,649486.0885446984,2.013550483449996e-06
1.0,668150.5688497239,2.0717360893408282e-06
1.0,687351.4160318865,2.1315921539058944e-06
1.0,707104.043830127,2.193167001428276e-06
1.0,727424.3089327151,2.256510339826968e-06
1.0,748328.5237064194,2.321673298986431e-06
1.0,769833.4692914794,2.388708470342065e-06
1.0,791956.4090728932,2.457669947757469e-06
1.0,814715.1025388314,2.528613369728006e-06
1.0,838127.8195373056,2.6015959629445287e-06
2.0,2983.4372143340365,4.128662690329865e-09
2.0,3069.1731617397604,4.282867200107498e-09
2.0,3157.3729292796043,4.443187472513948e-09
2.0,3248.107320506067,4.609864365852921e-09
2.0,3341.449173674988,4.783147262481795e-09
2.0,3437.4734202174286,4.963294292793049e-09
2.0,3536.257144891897,5.150572560792925e-09
2.0,3637.8796476651773,5.3452583711134275e-09
2.0,3742.422507371443,5.547637457296667e-09
2.0,3849.9696472007686,5.758005211195658e-09
2.0,3960.6074020696014,5.976666913342967e-09
2.0,4074.424587927276,6.203937964148434e-09
2.0,4191.512573054222,6.440144115799754e-09
2.0,4311.965351409081,6.68562170475519e-09
2.0,4435.879618083617,6.940717884736004e-09
2.0,4563.354846926009,7.205790860148322e-09
2.0,4694.493370394832,7.481210119888817e-09
2.0,4829.400461707808,7.767356671517495e-09
2.0,4968.1844193513025,8.064623275812811e-09
2.0,5110.956654018397,8.373414681760042e-09
2.0,5257.831778045323,8.694147862062993e-09
