height_m,bin_index,r_wet_m,number_concentration_m3
1.0,174,2.0972172819372326e-07,22.762262104153788
1.0,175,2.1560434941898037e-07,16.296458306675476
1.0,176,2.2164971406737115e-07,11.615445130325567
1.0,177,2.278622714212908e-07,8.24220289970062
1.0,178,2.3424659262469725e-07,5.822581277770432
1.0,179,2.4080737404330985e-07,4.094987971361797
1.0,180,2.4754944071588657e-07,2.8671770524075937
1.0,181,2.544777498990037e-07,1.9985784623310618
1.0,182,2.6159739470783376e-07,1.3869241202165163
1.0,183,2.6891360785547246e-07,0.95818419904089
1.0,184,2.7643176549343856e-07,0.6590374774565667
1.0,185,2.841573911560245e-07,0.451269541419289
1.0,186,2.920961598112722e-07,0.30762861560901694
1.0,187,3.002539020213951e-07,0.20877680093743986
1.0,188,3.086366082155626e-07,0.14105956574434728
1.0,189,3.1725043307804646e-07,0.09488283244100805
1.0,190,3.261017000548213e-07,0.06353858391308859
1.0,191,3.351969059817831e-07,0.04235963533101938
1.0,192,3.44542725837883e-07,0.028114585333328397
1.0,193,3.541460176265243e-07,0.018577015297683682
1.0,194,3.64013827388689e-07,0.012220387565137786
1.0,195,3.741533943513232e-07,0.008003110311399405
1.0,196,3.845721562145818e-07,0.005217919888575146
1.0,197,3.9527775458160393e-07,0.003386887642492067
