height_m,bin_index,r_wet_m,number_concentration_m3
1.0,198,2.0234151958542837e-06,0.4461162815803358
1.0,199,2.0805879820199335e-06,0.3162042376920501
2.0,0,4.443519448275938e-09,0.3147050801589057
2.0,1,4.588235055364204e-09,0.4440219928999966
2.0,2,4.738022781458527e-09,0.6243026598020062
2.0,3,4.893070614439798e-09,0.874733712657431
2.0,4,5.053573448537113e-09,1.2213679545018257
2.0,5,5.2197333001915055e-09,1.6994451601397007
2.0,6,5.391759527052899e-09,2.356447490061488
2.0,7,5.569869049903944e-09,3.256104670011388
2.0,8,5.7542865772923e-09,4.483621336211258
2.0,9,5.945244832642109e-09,6.152469610772283
2.0,10,6.1429847836060935e-09,8.413176654136588
